die,label,method,pair_id,source,target,overlap,iterations,total_ms,cov_ms,sre,sse_sum,gt_t1,gt_t2,gt_t3,gt_t4,gt_t5,gt_t6,gt_t7,gt_t8,gt_t9,gt_t10,gt_t11,gt_t12,est_t1,est_t2,est_t3,est_t4,est_t5,est_t6,est_t7,est_t8,est_t9,est_t10,est_t11,est_t12
die_obverse_0001,local,gicp,362831326790228,L0090D.ply,L0103D.ply,1,100,91669.9,3888.46,0.190393,1953.35,0.996704,0.0645572,-0.0491354,1.60527,-0.060308,0.994678,0.0835351,-1.64785,0.0542667,-0.0802965,0.995293,0.606587,0.999958,-0.00915283,0.00103332,-0.0834358,0.00914879,0.999951,0.00384218,-0.135569,-0.00106844,-0.00383257,0.999992,0.0051671
die_obverse_0001,local,icp,362831326790259,L0090D.ply,L0091D.ply,1,100,17113,0,0.511157,3737.78,0.960388,0.274759,0.0465095,-2.08663,-0.273704,0.961411,-0.0278333,-0.135157,-0.0523622,0.0140009,0.99853,-0.221472,0.999616,0.025652,0.0105226,0.306943,-0.0250897,0.99841,-0.0504813,-1.44716,-0.0118008,0.0501979,0.99867,0.247163
die_obverse_0001,local,gicp,362831326790259,L0090D.ply,L0091D.ply,1,100,93089.1,4308.56,0.4417,3510.52,0.960388,0.274759,0.0465095,-2.08663,-0.273704,0.961411,-0.0278333,-0.135157,-0.0523622,0.0140009,0.99853,-0.221472,0.941484,0.33311,-0.0514427,0.194864,-0.33629,0.938633,-0.0766669,-1.73485,0.0227474,0.0894803,0.995729,0.221056
die_obverse_0001,local,icp,362831326790290,L0090D.ply,L0096D.ply,1,100,16562.1,0,0.343939,3589.38,0.985885,-0.164367,-0.0318358,1.63056,0.164966,0.98615,0.017169,0.814987,0.0285728,-0.0221785,0.999346,0.206069,0.997937,-0.0630993,0.0118267,0.0125303,0.0631429,0.997999,-0.00334694,-1.1716,-0.0115919,0.00408681,0.999924,0.110381
die_obverse_0001,local,gicp,362831326790290,L0090D.ply,L0096D.ply,1,100,92814.3,3622.97,0.350514,3232.87,0.985885,-0.164367,-0.0318358,1.63056,0.164966,0.98615,0.017169,0.814987,0.0285728,-0.0221785,0.999346,0.206069,0.97027,-0.239724,0.0332876,-0.12498,0.239129,0.970763,0.0208742,-0.972881,-0.0373184,-0.0122936,0.999228,0.0352658
die_obverse_0001,local,icp,362831326790321,L0090D.ply,L0095D.ply,1,100,16752.9,0,0.461283,5889.06,0.997841,0.059244,-0.0283458,0.62026,-0.0611269,0.995605,-0.0709579,2.07393,0.0240174,0.0725374,0.997076,-0.0880159,0.99591,-0.0782865,0.045105,0.424404,0.0786188,0.996889,-0.00563927,-1.41623,-0.0445232,0.0091623,0.998966,0.172561
die_obverse_0001,local,gicp,362831326790321,L0090D.ply,L0095D.ply,1,100,92960.7,3412.55,0.684481,4959.02,0.997841,0.059244,-0.0283458,0.62026,-0.0611269,0.995605,-0.0709579,2.07393,0.0240174,0.0725374,0.997076,-0.0880159,0.905085,-0.417569,0.0803595,0.378012,0.415212,0.908616,0.0448953,-1.34135,-0.0917628,-0.00726779,0.995754,0.121872
die_obverse_0001,local,icp,362831326790352,L0090D.ply,L0101D.ply,1,100,18202.9,0,0.38787,13471.1,0.958904,0.277233,-0.0603777,0.962292,-0.278245,0.960469,-0.00888697,-0.484437,0.0555271,0.0253215,0.998136,0.176212,0.99913,0.0357671,0.0214507,0.668124,-0.0352966,0.999136,-0.0219264,-1.07929,-0.0222165,0.0211501,0.999529,0.0974924
die_obverse_0001,local,gicp,362831326790352,L0090D.ply,L0101D.ply,1,100,94053.8,3465.29,1.01834,10290.2,0.958904,0.277233,-0.0603777,0.962292,-0.278245,0.960469,-0.00888697,-0.484437,0.0555271,0.0253215,0.998136,0.176212,0.242016,0.944541,-0.221968,0.354554,-0.969313,0.245534,-0.0120407,-1.97626,0.0431278,0.21807,0.97498,0.208796
die_obverse_0001,local,icp,362831326790383,L0090D.ply,L0099D.ply,1,100,16214.8,0,0.310465,7225.21,0.969076,-0.235059,-0.0750918,2.69135,0.234431,0.971981,-0.0171976,2.0702,0.0770302,-0.000937993,0.997028,0.379228,0.999808,-0.0126931,-0.0149573,-0.561058,0.0128307,0.999876,0.00914215,-0.414249,0.0148394,-0.00933231,0.999846,-0.0669806
die_obverse_0001,local,gicp,362831326790383,L0090D.ply,L0099D.ply,1,100,92211.7,3315.55,0.28588,7987.53,0.969076,-0.235059,-0.0750918,2.69135,0.234431,0.971981,-0.0171976,2.0702,0.0770302,-0.000937993,0.997028,0.379228,0.999863,0.0157377,-0.00511742,-0.468653,-0.0156581,0.999761,0.0152271,-0.432334,0.00535583,-0.0151449,0.999871,-0.0694802
die_obverse_0001,local,icp,362831326790414,L0090D.ply,L0102D.ply,1,84,13446.7,0,0.108108,3299.55,0.997258,0.0329777,-0.0662551,1.54056,-0.0374903,0.996976,-0.068063,2.04539,0.0638102,0.0703602,0.995479,0.115273,0.999914,0.0021909,-0.0129363,0.210948,-0.00200366,0.999893,0.0144688,-0.17098,0.0129667,-0.0144416,0.999812,-0.0557572
die_obverse_0001,local,gicp,362831326790414,L0090D.ply,L0102D.ply,1,100,92147.4,3480.38,0.113388,3537.63,0.997258,0.0329777,-0.0662551,1.54056,-0.0374903,0.996976,-0.068063,2.04539,0.0638102,0.0703602,0.995479,0.115273,0.999949,0.00943103,-0.00371697,0.168792,-0.00937796,0.999857,0.0140446,-0.275248,0.0038489,-0.014009,0.999894,-0.0110216
die_obverse_0001,local,icp,362831326790445,L0090D.ply,L0097D.ply,1,100,16425.8,0,0.622112,3859.76,0.999932,-0.00727964,0.00915846,0.46249,0.00739004,0.9999,-0.0120788,0.816508,-0.00906961,0.0121457,0.999885,-0.0755349,0.998496,0.0534937,0.0119663,0.458925,-0.0526978,0.99686,-0.059102,-2.06498,-0.0150903,0.0583825,0.99818,0.286928
