piece,method,jitter_sigma,rot_deg,trans_norm,rmse,iterations,total_ms,cov_ms,gt_r00,gt_r01,gt_r02,gt_r10,gt_r11,gt_r12,gt_r20,gt_r21,gt_r22,gt_tx,gt_ty,gt_tz
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,icp,0,10,0,0.771188,20,4733.58,0,0.986461,-0.153858,-0.0567645,0.150327,0.986692,-0.0619725,0.065544,0.0526002,0.996462,0,0,0
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,gicp,0,10,0,3.04085e-15,7,8496.67,5412.36,0.986461,-0.153858,-0.0567645,0.150327,0.986692,-0.0619725,0.065544,0.0526002,0.996462,0,0,0
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,icp,0,10,0.005,0.429664,20,4624.8,0,0.994255,0.0631034,-0.086462,-0.0506321,0.988924,0.139521,0.0943086,-0.134342,0.986437,0.00150367,0.0044263,0.00177395
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,gicp,0,10,0.005,1.93999e-11,5,6040.99,5479.05,0.994255,0.0631034,-0.086462,-0.0506321,0.988924,0.139521,0.0943086,-0.134342,0.986437,0.00150367,0.0044263,0.00177395
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,icp,0,10,0.01,0.483835,20,5080.83,0,0.986204,-0.104882,-0.128068,0.111523,0.992705,0.0458196,0.122328,-0.05947,0.990706,-0.00390268,0.00877135,-0.00279866
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,gicp,0,10,0.01,1.05136e-12,6,7372.65,5467.52,0.986204,-0.104882,-0.128068,0.111523,0.992705,0.0458196,0.122328,-0.05947,0.990706,-0.00390268,0.00877135,-0.00279866
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,icp,0,50,0,1.02645,20,5721.42,0,0.705592,-0.227276,-0.671182,-0.0422648,0.931986,-0.360021,0.707357,0.282395,0.647997,0,0,0
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,gicp,0,50,0,4.17192e-15,9,12178.8,5475.51,0.705592,-0.227276,-0.671182,-0.0422648,0.931986,-0.360021,0.707357,0.282395,0.647997,0,0,0
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,icp,0,50,0.005,2.12152,20,5465.63,0,0.984505,0.147187,0.0953234,-0.168476,0.643119,0.747003,0.0486451,-0.751488,0.657951,-0.000801195,0.00381497,-0.00313115
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,gicp,0,50,0.005,6.63108e-12,13,16105.3,5474.34,0.984505,0.147187,0.0953234,-0.168476,0.643119,0.747003,0.0486451,-0.751488,0.657951,-0.000801195,0.00381497,-0.00313115
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,icp,0,50,0.01,1.13216,20,5886.6,0,0.645314,0.224513,-0.73018,-0.166636,0.97419,0.152271,0.745521,0.0234121,0.666071,-0.000137489,-0.00950501,0.00310418
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,gicp,0,50,0.01,5.09162e-13,11,14762,5482.14,0.645314,0.224513,-0.73018,-0.166636,0.97419,0.152271,0.745521,0.0234121,0.666071,-0.000137489,-0.00950501,0.00310418
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,icp,0,100,0,12.4932,20,8504.23,0,0.430802,0.737915,-0.519511,0.398783,0.360755,0.843106,0.809557,-0.570384,-0.138854,0,0,0
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,gicp,0,100,0,12.129,20,28438,5477.56,0.430802,0.737915,-0.519511,0.398783,0.360755,0.843106,0.809557,-0.570384,-0.138854,0,0,0
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,icp,0,100,0.005,11.7233,20,7062.2,0,-0.12853,-0.98981,0.0612907,0.91448,-0.142205,-0.37882,0.383676,0.00735946,0.923439,0.00387172,-0.0013502,-0.00286125
