jitter_sigma,0.29932,0.606233,0.913146,1.22006,1.52697,1.83388,2.1408,2.44771,2.75462,3.06153,3.36845,3.67536,3.98227,4.28919,4.5961,4.90301,5.20992,5.51684,5.82375,6.13066,6.43757,6.74449,7.0514,7.35831,7.66523,7.97214,8.27905,8.58596,8.89288,9.19979,9.5067,9.81361,10.1205,10.4274,10.7344,11.0413,11.3482,11.6551,11.962,12.2689,12.5758,12.8827,13.1897,13.4966,13.8035,14.1104,14.4173,14.7242,15.0311,15.338
0,12,22,27,24,5,8,6,4,3,6,4,4,4,4,5,4,5,2,2,5,1,3,2,5,2,0,1,0,4,2,1,4,1,0,2,3,5,8,11,6,4,2,1,1,0,2,0,1,1,2
0.0005,7,14,31,18,17,8,6,3,2,7,2,3,6,3,6,5,3,3,4,4,2,4,2,6,1,2,1,0,1,0,4,3,1,0,6,3,4,5,13,5,3,3,0,0,3,1,0,0,0,0
0.001,16,16,35,16,11,3,5,2,6,4,2,3,4,5,6,6,5,7,1,3,2,2,3,2,4,1,1,0,2,0,0,1,1,3,2,3,6,10,8,3,4,3,2,3,0,2,1,0,0,0
