jitter_sigma,1.63791e-15,1.96948e-15,2.01658e-15,2.31004e-15,2.4187e-15,2.4293e-15,2.55378e-15,2.55839e-15,2.56235e-15,2.56932e-15,2.59035e-15,2.68934e-15,2.70704e-15,2.73673e-15,2.74436e-15,2.7656e-15,2.78814e-15,2.81314e-15,2.82131e-15,2.82566e-15,2.83049e-15,2.88589e-15,2.89348e-15,2.91539e-15,2.96246e-15,3.04085e-15,3.05118e-15,3.08593e-15,3.13704e-15,3.14268e-15,3.18979e-15,3.20941e-15,3.25751e-15,3.26245e-15,3.26967e-15,3.2805e-15,3.28722e-15,3.32333e-15,3.39284e-15,3.44713e-15,3.47129e-15,3.47428e-15,3.4975e-15,3.50266e-15,3.51842e-15,3.53674e-15,3.61971e-15,3.64209e-15,3.68601e-15,3.74419e-15,3.76188e-15,3.89532e-15,3.92037e-15,4.04893e-15,4.05128e-15,4.17192e-15,4.22104e-15,4.2315e-15,4.23357e-15,4.23544e-15,4.37748e-15,4.47437e-15,4.52134e-15,4.55544e-15,4.6881e-15,4.7033e-15,5.01467e-15,5.13925e-15,5.22956e-15,5.31645e-15,5.39649e-15,5.70099e-15,5.98267e-15,6.47627e-15,6.66696e-15,6.89752e-15,7.39293e-15,1.09468e-14,1.62964e-14,1.66547e-14,1.71618e-14,5.32012e-14,1.10449e-13,1.15383e-13,1.84363e-13,2.02503e-13,2.68351e-13,2.78119e-13,3.14636e-13,3.46606e-13,3.53534e-13,3.74202e-13,4.05701e-13,5.04124e-13,5.09162e-13,5.52076e-13,6.22665e-13,7.68398e-13,1.05136e-12,1.099e-12,1.26578e-12,1.53771e-12,1.60142e-12,1.71891e-12,1.81778e-12,2.21192e-12,2.5537e-12,2.95602e-12,3.9841e-12,4.22542e-12,6.63108e-12,8.78539e-12,1.31659e-11,1.32469e-11,1.49017e-11,1.61041e-11,1.81316e-11,1.92825e-11,1.93999e-11,2.55056e-11,2.6844e-11,3.14346e-11,4.43213e-11,5.895e-11,6.29524e-11,6.99873e-11,7.9275e-11,1.0023e-10,1.01353e-10,1.4862e-10,1.6237e-10,2.31824e-10,5.39439e-09,2.70069e-06,0.000146711,0.000861196,0.000862552,0.000862936,0.000862995,0.000863371,0.000863391,0.000863697,0.000863906,0.000863977,0.000863979,0.000863982,0.000864157,0.000864165,0.00086427,0.000864281,0.000864322,0.000864328,0.000864338,0.000864413,0.000864425,0.000864498,0.00086451,0.000864514,0.000864544,0.000864622,0.000864651,0.000864853,0.000864872,0.000864908,0.000864932,0.000864973,0.000865054,0.000865166,0.000865183,0.000865193,0.000865294,0.000865378,0.000865409,0.000865425,0.000865429,0.000865465,0.000865466,0.000865562,0.000865593,0.0008656,0.000865654,0.000865706,0.000865711,0.000865731,0.000865782,0.000865784,0.0008658,0.000865856,0.000865884,0.000865886,0.000865921,0.000865978,0.000865979,0.000865992,0.000866009,0.000866065,0.000866102,0.000866139,0.000866161,0.000866173,0.000866189,0.000866195,0.0008663,0.000866359,0.000866368,0.000866393,0.000866432,0.000866439,0.000866444,0.000866445,0.000866452,0.000866471,0.000866506,0.000866507,0.00086651,0.000866521,0.000866537,0.00086654,0.000866552,0.000866601,0.000866611,0.000866687,0.000866725,0.000866764,0.000866767,0.000866774,0.000866795,0.000866809,0.000866822,0.000866824,0.000866853,0.00086686,0.000866871,0.000867059,0.000867125,0.00086713,0.000867158,0.000867227,0.000867421,0.000867441,0.000867539,0.000867653,0.000867661,0.000867716,0.000867718,0.000867741,0.000867764,0.000867886,0.000867903,0.000867913,0.000867928,0.000867943,0.000867991,0.000868013,0.000868032,0.000868068,0.000868211,0.000868435,0.000868604,0.000868864,0.000868918,0.00086894,0.000869094,0.000869445,0.000869829,0.000871247,0.00172429,0.00172432,0.00172498,0.00172618,0.00172654,0.00172725,0.00172742,0.00172758,0.00172771,0.00172819,0.00172837,0.00172845,0.00172852,0.00172864,0.00172867,0.00172881,0.00172888,0.001729,0.00172901,0.00172918,0.0017294,0.00172952,0.00172956,0.00172966,0.00172985,0.00172992,0.00172997,0.00173002,0.00173033,0.00173037,0.00173038,0.00173046,0.00173047,0.00173053,0.00173066,0.00173077,0.00173082,0.00173084,0.00173093,0.00173104,0.00173106,0.00173112,0.00173115,0.00173118,0.00173119,0.00173122,0.00173137,0.00173138,0.0017314,0.00173141,0.00173149,0.00173152,0.00173153,0.00173155,0.00173157,0.00173169,0.00173177,0.0017318,0.00173185,0.00173188,0.00173192,0.00173193,0.00173206,0.00173215,0.00173224,0.00173227,0.00173229,0.00173237,0.00173238,0.00173242,0.00173251,0.00173252,0.00173264,0.00173265,0.00173267,0.00173271,0.00173278,0.00173284,0.0017329,0.00173294,0.00173296,0.00173307,0.00173317,0.00173318,0.00173319,0.00173322,0.00173323,0.00173341,0.00173343,0.00173348,0.00173349,0.0017335,0.00173351,0.00173395,0.001734,0.00173415,0.00173442,0.00173461,0.00173467,0.00173472,0.00173488,0.00173497,0.00173499,0.00173501,0.00173504,0.00173512,0.00173513,0.00173545,0.00173554,0.00173557,0.00173584,0.00173621,0.00173624,0.00173631,0.00173641,0.00173643,0.00173672,0.00173829,0.00173944,0.00173956,0.00173993,0.00195104,0.00201406,0.0104727,0.0329192,0.0966966,0.139594,0.151011,0.336023,0.353133,0.541004,0.577552,0.613662,0.629809,0.637739,0.645693,0.654778,0.68924,0.737233,0.876595,0.925543,0.926875,0.939643,1.03448,1.04881,1.12536,1.13109,1.4408,1.49577,1.52432,1.69861,1.83552,1.88725,1.96246,2.02491,2.18506,2.18636,2.19411,2.22436,2.39407,2.50804,2.56999,2.57994,2.65509,2.78055,2.79228,2.80636,2.84706,2.94642,2.95254,3.17,3.18735,3.25757,3.35016,3.3539,3.52927,3.57459,3.71674,3.85363,4.01256,4.02791,4.0681,4.10531,4.11661,4.21129,4.40475,4.43346,4.67016,4.7037,4.72341,4.73633,4.75507,4.78323,4.8202,4.84132,5.0212,5.13216,5.1579,5.19408,5.20784,5.57158,5.58659,5.72135,5.86895,5.87601,5.90158,5.95207,5.95324,6.00247,6.09535,6.11008,6.27193,6.31366,6.3154,6.4639,6.53926,6.62754,6.63189,6.71277,6.72618,6.96981,7.11847,7.35517,7.3699,7.46366,7.52508,8.02059,8.07267,8.15017,8.1553,8.20778,8.29901,8.49367,8.54551,8.9139,9.26224,9.40455,9.87198,9.88727,10.1927,10.3175,10.3601,10.3783,10.4017,10.5048,10.5761,10.5904,10.6102,10.734,10.7745,10.8348,10.8698,10.8787,10.8811,10.9056,10.9435,10.98,11.0553,11.08,11.0985,11.0993,11.151,11.1605,11.1761,11.1857,11.2174,11.2376,11.2466,11.2682,11.3163,11.3608,11.3919,11.3973,11.4765,11.4852,11.5859,11.5989,11.6095,11.6433,11.6851,11.7621,11.7672,11.7905,11.7931,11.8256,11.8335,11.8565,11.8702,11.8772,11.8953,11.9099,11.9167,11.9371,11.9447,11.9486,11.9658,11.9947,12.0141,12.0791,12.0953,12.1129,12.129,12.1536,12.1861,12.2057,12.222,12.242,12.2427,12.2514,12.2794,12.2895,12.3034,12.3425,12.4186,12.4192,12.4977,12.508,12.5218,12.5863,12.6426,12.6934,12.6981,12.7076,12.7989,12.8553,12.895,13.0504,13.072,13.1275,13.1351,13.2752,13.3067,13.3948,13.402,13.4047,13.4611,13.582,13.6248,13.7206,14.0047,14.1115,14.1859,14.3487,14.5348,14.5554,14.5849,14.6164,14.6443,14.9425,15.2965,15.3318,15.6465,15.6679,15.8756,16.1975,16.8104,17.1921,17.4628,17.4914,17.6341,17.6845,18.5334,18.6394,18.6746,19.1368,20.064,20.8471,21.0787,21.2284,21.2627,21.8203,22.2172,22.2684,22.5131,22.8475,23.1806,23.4842,24.4978,25.182,26.2923,27.8289,29.8698,30.2451,30.319,30.8264,31.2825,31.317,32.3526,32.5418,34.268,36.147,36.8873,40.0954,40.302,43.7462,43.949,47.8182,48.3332,49.6968,49.8926,51.2335,51.405,53.5412,70.964,74.0332
0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1
