angle_deg,mean_speedup_e2e_x,ci95_low_e2e_x,ci95_high_e2e_x,mean_speedup_solve_x,ci95_low_solve_x,ci95_high_solve_x,success_rate,success_ci95_low,success_ci95_high,num_runs,total_trials
0.0,27.857580000000002,27.581080000000004,28.162419999999997,87.56884,83.2541,93.23204,1.0,0.9123754607496077,1.0,5,40
10.0,29.48034,29.292160000000003,29.66852,89.04664,85.98482000000001,91.96394000000001,1.0,0.9123754607496077,1.0,5,40
20.0,29.923519999999996,29.812279999999998,30.0374,88.89056000000001,87.20682,90.54654,1.0,0.9123754607496077,1.0,5,40
30.0,31.577440000000003,31.254739999999998,31.87518,94.64092000000001,90.18930000000002,99.09254,1.0,0.9123754607496077,1.0,5,40
40.0,32.49024,31.99928,32.9812,95.36298000000001,92.26122000000001,98.19384,1.0,0.9123754607496077,1.0,5,40
50.0,33.61044,33.339999999999996,33.84492,95.37884,92.85348000000002,97.45712,1.0,0.9123754607496077,1.0,5,40
60.0,35.73322,35.2877,36.3152535,100.41552,96.98962,104.46876,0.975,0.8711834051199223,0.9955732825922052,5,40
