piece,method,jitter_sigma,rot_deg,trans_norm,rmse,iterations,total_ms,cov_ms,gt_r00,gt_r01,gt_r02,gt_r10,gt_r11,gt_r12,gt_r20,gt_r21,gt_r22,gt_tx,gt_ty,gt_tz
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,icp,0.01,100,0.005,9.72897,20,21963.7,0,0.288652,-0.405946,0.867115,0.946475,-0.0156492,-0.322396,0.144445,0.913763,0.379701,0.00479062,0.00103177,0.000992669
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,gicp,0.01,100,0.005,6.01638,20,74095.3,13611.6,0.288652,-0.405946,0.867115,0.946475,-0.0156492,-0.322396,0.144445,0.913763,0.379701,0.00479062,0.00103177,0.000992669
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,icp,0.01,100,0.01,8.31565,20,19637.1,0,0.623468,-0.526584,0.577924,0.587313,-0.172492,-0.790765,0.516092,0.832439,0.201727,-0.0078619,-0.00435694,0.00438265
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,gicp,0.01,100,0.01,0.0743172,20,68327.1,13918,0.623468,-0.526584,0.577924,0.587313,-0.172492,-0.790765,0.516092,0.832439,0.201727,-0.0078619,-0.00435694,0.00438265
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,icp,0.1,50,0,0.561822,20,16316.4,0,0.645313,0.00503604,-0.763902,0.054785,0.997098,0.0528535,0.761952,-0.0759574,0.643164,0,0,0
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,gicp,0.1,50,0,0.174099,20,66789.8,13839.2,0.645313,0.00503604,-0.763902,0.054785,0.997098,0.0528535,0.761952,-0.0759574,0.643164,0,0,0
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,icp,0.1,50,0.005,6.33296,20,21953.4,0,0.664364,0.736722,0.125942,-0.689127,0.669034,-0.278383,-0.289351,0.0981577,0.952177,4.52754e-05,0.00154893,0.00475382
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,gicp,0.1,50,0.005,2.52759,20,76101.9,14249.3,0.664364,0.736722,0.125942,-0.689127,0.669034,-0.278383,-0.289351,0.0981577,0.952177,4.52754e-05,0.00154893,0.00475382
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,icp,0.1,50,0.01,3.49978,20,18195.8,0,0.803618,0.255906,0.537317,-0.516528,0.74837,0.416102,-0.295629,-0.611927,0.733587,-0.00242765,-0.00643187,-0.00726206
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,gicp,0.1,50,0.01,0.9479,20,67786.2,14267.9,0.803618,0.255906,0.537317,-0.516528,0.74837,0.416102,-0.295629,-0.611927,0.733587,-0.00242765,-0.00643187,-0.00726206
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,icp,0.1,100,0,11.792,20,28333.6,0,0.672796,-0.702819,0.231066,-0.239491,0.0886104,0.966847,-0.699993,-0.705828,-0.108702,0,0,0
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,gicp,0.1,100,0,11.6831,20,82646.8,14071.7,0.672796,-0.702819,0.231066,-0.239491,0.0886104,0.966847,-0.699993,-0.705828,-0.108702,0,0,0
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,icp,0.1,100,0.005,11.6413,20,21626.7,0,0.0168,0.861821,0.506934,-0.934544,-0.166706,0.314382,0.35545,-0.479034,0.802609,0.000701024,0.00486999,-0.000889835
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,gicp,0.1,100,0.005,10.2014,20,70811.2,13946.9,0.0168,0.861821,0.506934,-0.934544,-0.166706,0.314382,0.35545,-0.479034,0.802609,0.000701024,0.00486999,-0.000889835
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,icp,0.1,100,0.01,2.86534,20,23025.3,0,-0.153613,0.172711,0.97292,0.131282,0.979445,-0.153141,-0.979371,0.104202,-0.173129,-0.0096379,0.00113643,-0.00241236
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,gicp,0.1,100,0.01,0.857933,20,71395.2,13917.4,-0.153613,0.172711,0.97292,0.131282,0.979445,-0.153141,-0.979371,0.104202,-0.173129,-0.0096379,0.00113643,-0.00241236
